0,KRMECCRRRM,357
1,PDRQDRRLER,348
2,XXRRRRXXXQ,375
3,EKGGEEEEOL,360
4,JJAJGMGGJD,350
5,VVVYYRNVVV,371
6,ADEAADDLRL,352
7,UUOYLPOWWL,346
8,FFWFFFYFFY,382
9,RPPRNPJJNU,351
10,GTTSUTODGG,344
11,QQLQQQJJYV,358
12,HHHHMHDIHH,374
13,WIGDWGBWCV,341
14,KWKWXOXEKW,356
15,IYYHFFXIFO,346
16,HBHRBPXBKL,341
17,YHNNWYEYJW,345
18,PPPTPGPPEE,364
19,RRRRJBSBRB,363
20,VJPPVWBDJJ,345
21,NXNJGRYYXR,346
22,AAAABAICQA,361
23,LDDDDDSPDM,369
24,AAASAAPAAN,372
25,NNUUUNNYUE,361
26,QYHUHHFUNU,344
27,EEPFKPQHOE,340
28,OHHOOOLOGO,361
29,FSSSJNFSGS,357
30,QQQQBBLLPS,359
31,SAAAAACWAP,369
32,WTTETIJTWT,355
33,NNNNICNNNN,398
34,VVHAVVVRRV,364
35,EEEEEQQEII,378
36,HHHNNNPNHH,370
37,RSSRSFLCRS,356
38,DAPOOLLOVO,345
39,GGWIAIAAOG,352
40,FYFFFFFFBF,394
41,PGKKPGVOCG,348
42,IILIIPLWGA,349
43,FJFJFXJXFF,366
44,DDDDNDADYD,369
45,SWWSSSYSMC,355
46,TTTTEVTTTT,398
47,SGSPSSSGFS,364
48,MMMMMMONTQ,378
49,XXXXBAXBRX,369
50,BBABMWABMA,361
51,OOMOEMPEEE,358
52,UDNNUBEJNY,341
53,BBYBOBHBBY,367
54,IMPFXIIIIO,355
55,GOGOOGQOLD,356
56,SSHNTSPSSP,358
57,ACACAHCCCC,377
58,PJJMCJUCOO,345
59,MMMMICXIMI,367
60,YYYYBAHHHY,366
61,NNXNXDNODQ,354
62,RRRPUENURA,349
63,XXIIDLIXLL,353
64,QQYQJPQYYY,361
65,JAPJAPXKOA,351
66,AHHRFRHFFR,357
67,PITOXOOOIP,353
68,MGGGCGGCUO,363
69,YYRVWRRCYR,353
70,XXLPLLHOBL,345
71,SSSSSIJSSS,398
72,JJLTWLJLPP,352
73,YYDFOHFSJH,341
74,PYNYTCXPPC,345
75,XXXHJCWRVC,343
76,VVBUBUJWRU,348
77,QDDDNDDFDW,360
78,CTNCNJCHTQ,346
79,QMMMVVQMMQ,370
80,CYCUCCUGFE,349
81,ICCHRCVVHH,349
82,FWFWWBWWXW,364
83,HKKKYWBJYV,344
84,GQQGQQQGQQ,395
85,YXJXJXVGXH,352
86,EKQOOOKOKT,356
87,LLTMLITTAC,345
88,DVDLVSSULN,347
89,GYYEGGNYYY,362
90,DDHMMCMBKL,341
91,RYVVJCRYGA,345
92,LLLFRIRLLV,358
93,MMFMJMJJCM,358
94,JFLFMFLFKW,352
95,MMWWMMCCWW,366
96,LQLLDJLYJL,355
97,FKFYTPQWOP,336
98,SSEASEEJSY,353
99,IUIXINUXSE,346
100,NNNNIKNSCF,355
101,EEEFEEEEXE,386
102,LWDWWBBWWB,364
103,TUURRRRRRR,402
104,AAAWHWWGHH,356
105,DDDDMDDMTM,379
106,DGIYPGUING,340
107,UUIJUJUJUX,369
108,KKHORROUHO,354
109,VRRDTGVDMF,342
